target_col,test_seed,n_train,row_method,column_method,probability_row_beats_column
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,geometry_plus_topology | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,geometry_plus_topology | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,geometry_plus_topology | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,topology_only | hgb,0.7
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,topology_only | mlp,0.5
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,topology_only | rf,0.2
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | mlp,topology_only | ridge,0.3
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,enriched_interpretable | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,enriched_interpretable | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,enriched_interpretable | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,enriched_interpretable | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,geometry_only | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,geometry_only | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,geometry_only | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,geometry_only | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,geometry_plus_topology | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,geometry_plus_topology | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,geometry_plus_topology | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,geometry_plus_topology | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,topology_only | hgb,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,topology_only | mlp,0.8
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,topology_only | rf,0.5
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | rf,topology_only | ridge,0.3
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,enriched_interpretable | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,enriched_interpretable | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,enriched_interpretable | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,enriched_interpretable | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,geometry_only | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,geometry_only | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,geometry_only | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,geometry_only | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,geometry_plus_topology | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,geometry_plus_topology | mlp,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,geometry_plus_topology | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,geometry_plus_topology | ridge,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only | ridge,topology_only | hgb,1.0
