suite_name,target_col,test_seed,n_train,descriptor_family,n_models,rmse_family_mean,rmse_family_best,rmse_family_std_across_models,mae_family_mean,mae_family_best,mae_family_std_across_models,r2_family_mean,r2_family_best,r2_family_std_across_models,spearman_family_mean,spearman_family_best,spearman_family_std_across_models
primary,uptake(mmol/g) CO2 at 0.15 bar,17,20000,enriched_interpretable,4,0.6094286355876338,0.5589185438794861,0.06656113147992151,0.36458764146678635,0.3260993324530913,0.05084629123522395,0.6265515741640586,0.6886779683234205,0.08398611524634153,0.8488172568260364,0.8709051034314467,0.028315832120782394
primary,uptake(mmol/g) CO2 at 0.15 bar,17,20000,geometry_only,4,0.6329039417880072,0.5810189455764826,0.07503022815293087,0.38706075003815144,0.33995845560996224,0.07145910824138754,0.5965928663479294,0.6635699421147601,0.09982345217427754,0.8410027277060328,0.8632966860023599,0.03118034363086944
primary,uptake(mmol/g) CO2 at 0.15 bar,17,20000,geometry_plus_topology,4,0.5601324367148541,0.5223907905199602,0.05537924104950242,0.3258369898270641,0.2966479530793443,0.04130639215609504,0.6850286300223132,0.728039259695821,0.06442641320752827,0.8704903947155685,0.8881715518800364,0.02380182708950598
primary,uptake(mmol/g) CO2 at 0.15 bar,17,20000,topology_only,4,0.7882855524066883,0.7873298304954439,0.0012928505524782395,0.5185018313796697,0.5177205597735123,0.0011788555775419892,0.3807377700316499,0.382240193579786,0.002033474173812994,0.6481376298275778,0.6492838028933108,0.001617077984583835
primary,uptake(mmol/g) CO2 at 0.15 bar,17,40000,enriched_interpretable,4,0.5957475870018062,0.5379857571644877,0.07488399411342674,0.35644705323511416,0.31240750154658964,0.056225587127549,0.6421031167790398,0.7115621434355802,0.09323267203566013,0.8532571368036046,0.8793585852455097,0.03171843760607323
primary,uptake(mmol/g) CO2 at 0.15 bar,17,40000,geometry_only,4,0.6232397330230485,0.5641061930676492,0.08197724056124656,0.38077438093353644,0.3290537511606261,0.07584596237794644,0.6078773283537443,0.6828755701095186,0.10780560240000187,0.8454801866832686,0.870562679691336,0.034128310953640884
primary,uptake(mmol/g) CO2 at 0.15 bar,17,40000,geometry_plus_topology,4,0.5444395006942092,0.4963574195870922,0.06544588092839364,0.3176495435233474,0.28200946345185696,0.046703091688476236,0.7013968333181755,0.7544693994486071,0.07463616836774394,0.8753217528535983,0.8964322366634677,0.026803842648798384
primary,uptake(mmol/g) CO2 at 0.15 bar,17,40000,topology_only,4,0.7868982964661932,0.7864552395059972,0.0003167029685575651,0.5162567661562389,0.5138446751859503,0.001657360239862305,0.3829171811837107,0.3836120111558935,0.0004966973747250565,0.651227925061747,0.6518682462863182,0.0007166760667862139
primary,uptake(mmol/g) CO2 at 0.15 bar,17,210995,enriched_interpretable,4,0.572491937149904,0.49391287423077557,0.09073514777706063,0.34229639188858213,0.2854166625484812,0.06597592252367629,0.6672219860420088,0.7568876951869591,0.10982368415919776,0.8610957035992153,0.8954681639495456,0.03794587394922328
primary,uptake(mmol/g) CO2 at 0.15 bar,17,210995,geometry_only,4,0.6052702443930835,0.5285459569863329,0.09493145865838679,0.3701124358312413,0.3078713858107051,0.0834349254064449,0.6281661774478776,0.7215983962104164,0.12208399844873154,0.8518656745037468,0.8846653271086968,0.03909685970035304
primary,uptake(mmol/g) CO2 at 0.15 bar,17,210995,geometry_plus_topology,4,0.5164241345877634,0.4432913592101097,0.08499023370165212,0.30272715950552875,0.25282891649234374,0.057644922781692545,0.728821455158315,0.8041674966911865,0.0931508414934733,0.8833858226542377,0.9113194474160918,0.032784346807615175
primary,uptake(mmol/g) CO2 at 0.15 bar,17,210995,topology_only,4,0.7862439180039695,0.7859789429761779,0.0003740097907179839,0.5168442273668544,0.5164026155265339,0.0003659003681020056,0.38394314682447905,0.384358427589844,0.0005862119949457355,0.65283561174311,0.6533828069141211,0.00049309138821297
