target_col,test_seed,subsample_seed,n_train,descriptor_family,model_name,feature,importance_mean,importance_std
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,POAVA,0.010324834570321162,0.00035963824765361773
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,Df,0.00594108727537066,0.00028546272302995687
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,Di,0.0017648829902695007,0.00011553368390825981
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,Dif,0.007317221416158104,0.00029985870105600184
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,lcd_pld_ratio,0.002957354858678596,0.0005772829250375976
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,cavity_window_gap,0.0041176230695202706,0.0003209265240294705
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,sa_pv_ratio,0.005837936818384048,0.0006350898734983261
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,vf_density_ratio,0.09336493810248434,0.0007873936002579173
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,log_pld_plus1,0.0056799894759686055,0.0002653507741429837
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,log_lcd_plus1,0.002279071951288114,0.0001501459954921754
uptake(mmol/g) CO2 at 0.15 bar,17,1,2000,geometry_plus_topology,rf,topology_label___OTHER__,0.12609158699803458,0.0008514165157532724
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,UC_volume,0.02154558755781033,0.00030718146021091816
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,Density,0.04354322271863557,0.0008124555477060915
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,ASA,0.019740051847547558,0.0006119032209835641
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,vASA,0.028054338276547453,0.0007228936983368824
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,NASA,0.0018249342002100155,0.00014680206377507086
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,AVA,0.0084297350542761,0.00023931689711562622
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,AVAf,0.18580338659637596,0.0010008326042395287
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,POAVA,0.01354326027900229,0.00045982025810617185
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,Df,0.0076712411378341725,0.0003002628489733743
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,Di,0.007030891163191899,0.0002443490469469781
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,Dif,0.0200594094039513,0.00042675073906336193
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,lcd_pld_ratio,0.007259756288707886,0.0005440050581759715
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,cavity_window_gap,0.005294411327379312,0.0002587204395408461
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,sa_pv_ratio,0.018351373200401987,0.0003927585419755212
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,vf_density_ratio,0.363389320714218,0.0017185055839928224
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,log_pld_plus1,0.00890239937811237,0.00039483836467510083
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,log_lcd_plus1,0.00771641456864558,0.0002530895028515573
uptake(mmol/g) CO2 at 0.15 bar,17,1,10000,geometry_plus_topology,rf,topology_label___OTHER__,0.15334801091436562,0.0013328711475363699
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,UC_volume,0.10283220634580421,0.000929601498199695
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,Density,0.13867540494757477,0.00135176984882688
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,ASA,0.025175590549176747,0.0004979176074285454
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,vASA,0.07005919400521232,0.0014084464220525095
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,NASA,0.008428567600771642,0.00023295274680095547
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,AVA,0.01683935729750178,0.0003462216219527188
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,AVAf,0.28932405194317357,0.0013694330104949105
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,POAVA,0.028775903582239727,0.0004866710598341062
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,Df,0.03963342706845409,0.0005873408927716738
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,Di,0.018257053048573092,0.00023876474348379263
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,Dif,0.015882182981575666,0.00029357686775189734
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,lcd_pld_ratio,0.023591186203827226,0.00073702431932113
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,cavity_window_gap,0.015176296116222687,0.00030771393935636704
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,sa_pv_ratio,0.022095530694873484,0.0003247567350642398
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,vf_density_ratio,0.41682484870790304,0.0014818722018335832
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,log_pld_plus1,0.03552519651880846,0.0005336462761848656
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,log_lcd_plus1,0.02199486277752984,0.00036738002014100285
uptake(mmol/g) CO2 at 0.15 bar,17,1,210995,geometry_plus_topology,rf,topology_label___OTHER__,0.24192787055841242,0.0012382230432057915
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,UC_volume,0.004955801588730735,0.00019117715301129694
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,Density,0.020753569236584023,0.00048647454700096615
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,ASA,-0.001103348927749881,9.028050616562882e-05
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,vASA,0.010236750330146427,0.0004201144644073608
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,NASA,-0.0008144027707201462,3.150073853331406e-05
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,AVA,0.05601792917221465,0.000597396130950307
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,AVAf,0.12472577647100982,0.0008275614387333031
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,POAVA,-0.0009067298854460559,9.732887754151287e-05
